Test,Loc,Year,Genotype,Code,Rep,Plot,Oil,Protein,Protein_Plus_Oil
Jay Test 2,CAS,2020,N18-1615,4,1,16,21.37,44.11,65.48
Jay Test 2,CAS,2020,N18-1615,4,2,40,20.88,44.66,65.54
Jay Test 2,CAS,2020,N18-1615,4,3,59,21.1,44.42,65.52
Jay Test 2,CAS,2020,N18-1796,5,1,10,18.9,49.58,68.48
Jay Test 2,CAS,2020,N18-1796,5,2,34,19.52,49.36,68.88
Jay Test 2,CAS,2020,N18-1796,5,3,47,19.52,48.71,68.23
Jay Test 2,CAS,2020,N18-1659,6,1,2,19.5,48.4,67.9
Jay Test 2,CAS,2020,N18-1659,6,2,29,19.9,48.95,68.85
Jay Test 2,CAS,2020,N18-1659,6,3,41,18.89,48.94,67.83
Jay Test 2,CAS,2020,N18-1643,7,1,7,20.71,44.87,65.58
Jay Test 2,CAS,2020,N18-1643,7,2,22,19.61,46.64,66.25
Jay Test 2,CAS,2020,N18-1643,7,3,49,20.52,45.47,65.99
Jay Test 2,CAS,2020,N18-1661,8,1,19,21.69,43.86,65.55
Jay Test 2,CAS,2020,N18-1661,8,2,37,21.48,44.32,65.8
Jay Test 2,CAS,2020,N18-1661,8,3,57,20.97,44.18,65.15
Jay Test 2,CAS,2020,N18-1761,9,1,17,17.79,48.9,66.69
Jay Test 2,CAS,2020,N18-1761,9,2,28,18.77,49.7,68.47
Jay Test 2,CAS,2020,N18-1761,9,3,55,19.87,48.98,68.85
Jay Test 2,CAS,2020,N18-1820,10,1,15,20.95,43.86,64.81
Jay Test 2,CAS,2020,N18-1820,10,2,21,19.5,45.41,64.91
Jay Test 2,CAS,2020,N18-1820,10,3,52,20.1,45.21,65.31
Jay Test 2,CAS,2020,N18-1586,11,1,11,20.8,46.97,67.77
Jay Test 2,CAS,2020,N18-1586,11,3,56,20.23,47.19,67.42
Jay Test 2,CAS,2020,N18-1577,12,1,4,17.09,49.75,66.84
Jay Test 2,CAS,2020,N18-1577,12,2,25,18.59,50.63,69.22
Jay Test 2,CAS,2020,N18-1577,12,3,44,18.84,49.07,67.91
Jay Test 2,CAS,2020,N18-1627,13,1,3,19.56,46.81,66.37
Jay Test 2,CAS,2020,N18-1627,13,2,33,20.22,46.86,67.08
Jay Test 2,CAS,2020,N18-1627,13,3,53,18.88,46.5,65.38
Jay Test 2,CAS,2020,N18-1783,14,1,12,19.71,47.96,67.67
Jay Test 2,CAS,2020,N18-1783,14,2,39,19.19,48.04,67.23
Jay Test 2,CAS,2020,N18-1783,14,3,46,20.31,47.4,67.71
Jay Test 2,CAS,2020,N18-1769,15,1,8,18.26,49.27,67.53
Jay Test 2,CAS,2020,N18-1769,15,2,31,16.63,50.34,66.97
Jay Test 2,CAS,2020,N18-1769,15,3,48,17.95,48.93,66.88
Jay Test 2,CAS,2020,Osage,16,1,6,20.17,45.82,65.99
Jay Test 2,CAS,2020,Osage,16,2,36,20.46,46.31,66.77
Jay Test 2,CAS,2020,Osage,16,3,60,20.12,45.3,65.42
Jay Test 2,CAS,2020,Ellis,17,1,13,19.84,43.3,63.14
Jay Test 2,CAS,2020,Ellis,17,2,35,21.44,42.61,64.05
Jay Test 2,CAS,2020,Ellis,17,3,42,18.23,43.93,62.16
Jay Test 2,CAS,2020,Dunphy,18,1,5,20.79,42.99,63.78
Jay Test 2,CAS,2020,Dunphy,18,2,27,21.58,42.63,64.21
Jay Test 2,CAS,2020,Dunphy,18,3,50,19.95,43.92,63.87
Jay Test 2,CAS,2020,N09-09,19,1,18,19.63,45.86,65.49
Jay Test 2,CAS,2020,N09-09,19,2,26,19.93,46.31,66.24
Jay Test 2,CAS,2020,N09-09,19,3,43,19.48,47.74,67.22
Jay Test 2,CAS,2020,N10-687,20,1,20,20.34,43.14,63.48
Jay Test 2,CAS,2020,N10-687,20,2,32,20.55,44.56,65.11
Jay Test 2,CAS,2020,N10-687,20,3,51,20.22,44.6,64.82
Jay Test 1,CLA,2020,N18-1674,1,1,3,20.58,45.88,66.46
Jay Test 1,CLA,2020,N18-1674,1,2,39,21.15,44.57,65.72
Jay Test 1,CLA,2020,N18-1674,1,3,53,20.91,45.51,66.42
Jay Test 1,CLA,2020,N18-1674,1,4,71,20,45.97,65.97
Jay Test 1,CLA,2020,N18-1635,2,1,13,20.31,44.53,64.84
Jay Test 1,CLA,2020,N18-1635,2,2,24,20.05,45.57,65.62
Jay Test 1,CLA,2020,N18-1635,2,3,59,20.02,45.13,65.15
Jay Test 1,CLA,2020,N18-1635,2,4,63,20.68,44.39,65.07
Jay Test 1,CLA,2020,N18-1641,3,1,5,20.96,44.27,65.23
Jay Test 1,CLA,2020,N18-1641,3,2,27,20.54,44.77,65.31
Jay Test 1,CLA,2020,N18-1641,3,3,49,20.45,44.43,64.88
Jay Test 1,CLA,2020,N18-1641,3,4,80,20.56,44.92,65.48
Jay Test 1,CLA,2020,N18-1595,4,1,11,18.87,47.86,66.73
Jay Test 1,CLA,2020,N18-1595,4,2,34,18.66,48.45,67.11
Jay Test 1,CLA,2020,N18-1595,4,3,57,19.61,47.47,67.08
Jay Test 1,CLA,2020,N18-1595,4,4,70,18.51,48.26,66.77
Jay Test 1,CLA,2020,N18-1604,5,1,20,20.23,45.48,65.71
Jay Test 1,CLA,2020,N18-1604,5,2,38,21.47,43.07,64.54
Jay Test 1,CLA,2020,N18-1604,5,3,43,20.95,42.83,63.78
Jay Test 1,CLA,2020,N18-1604,5,4,72,20.81,45.4,66.21
Jay Test 1,CLA,2020,N18-1632-1,6,1,16,20.39,46.5,66.89
Jay Test 1,CLA,2020,N18-1632-1,6,2,30,19.83,47.77,67.6
Jay Test 1,CLA,2020,N18-1632-1,6,3,52,20.65,47.86,68.51
Jay Test 1,CLA,2020,N18-1632-1,6,4,67,20.63,46.22,66.85
Jay Test 1,CLA,2020,N18-1956,7,1,8,18.96,47.29,66.25
Jay Test 1,CLA,2020,N18-1956,7,2,37,19.65,46.21,65.86
Jay Test 1,CLA,2020,N18-1956,7,3,58,18.53,47.59,66.12
Jay Test 1,CLA,2020,N18-1956,7,4,78,18.75,47.53,66.28
Jay Test 1,CLA,2020,N18-1572,8,1,7,20.98,45.29,66.27
Jay Test 1,CLA,2020,N18-1572,8,2,25,21.21,45.99,67.2
Jay Test 1,CLA,2020,N18-1572,8,3,46,21.17,45.34,66.51
Jay Test 1,CLA,2020,N18-1572,8,4,73,19.88,46.92,66.8
Jay Test 1,CLA,2020,N18-1751,9,1,4,20.3,44.95,65.25
Jay Test 1,CLA,2020,N18-1751,9,2,40,18.82,46.52,65.34
Jay Test 1,CLA,2020,N18-1751,9,3,44,20.25,45.11,65.36
Jay Test 1,CLA,2020,N18-1751,9,4,68,19.75,45.31,65.06
Jay Test 1,CLA,2020,N18-1855,10,1,17,20.98,46.88,67.86
Jay Test 1,CLA,2020,N18-1855,10,2,22,19.79,49.13,68.92
Jay Test 1,CLA,2020,N18-1855,10,3,47,21.19,46.88,68.07
Jay Test 1,CLA,2020,N18-1855,10,4,62,20.52,47.99,68.51
Jay Test 1,CLA,2020,N18-1620,11,1,1,22,42.82,64.82
Jay Test 1,CLA,2020,N18-1620,11,2,31,20.49,44.92,65.41
Jay Test 1,CLA,2020,N18-1620,11,3,41,20.9,44.41,65.31
Jay Test 1,CLA,2020,N18-1620,11,4,61,21.41,44.58,65.99
Jay Test 1,CLA,2020,N18-1763,12,1,2,19.46,48.01,67.47
Jay Test 1,CLA,2020,N18-1763,12,2,32,18.87,48.82,67.69
Jay Test 1,CLA,2020,N18-1763,12,3,48,18.82,48.19,67.01
Jay Test 1,CLA,2020,N18-1763,12,4,74,19.84,47.36,67.2
Jay Test 1,CLA,2020,N18-1682,13,1,12,20.65,44.68,65.33
Jay Test 1,CLA,2020,N18-1682,13,2,26,20.26,45.58,65.84
Jay Test 1,CLA,2020,N18-1682,13,3,42,20.94,45.27,66.21
Jay Test 1,CLA,2020,N18-1682,13,4,75,21.36,44.48,65.84
Jay Test 1,CLA,2020,N18-1731,14,1,15,20.89,45.25,66.14
Jay Test 1,CLA,2020,N18-1731,14,2,21,20.05,47.55,67.6
Jay Test 1,CLA,2020,N18-1731,14,3,51,19.8,47.48,67.28
Jay Test 1,CLA,2020,N18-1731,14,4,77,20.37,46.68,67.05
Jay Test 1,CLA,2020,N18-1632-2,15,1,14,20.34,46.65,66.99
Jay Test 1,CLA,2020,N18-1632-2,15,2,36,20.1,47.03,67.13
Jay Test 1,CLA,2020,N18-1632-2,15,3,45,20.13,46.53,66.66
Jay Test 1,CLA,2020,N18-1632-2,15,4,64,20.4,47.36,67.76
Jay Test 1,CLA,2020,NC-Dunphy,16,1,18,20.68,42.76,63.44
Jay Test 1,CLA,2020,NC-Dunphy,16,2,28,20.97,42.81,63.78
Jay Test 1,CLA,2020,NC-Dunphy,16,3,56,21.9,42.37,64.27
Jay Test 1,CLA,2020,NC-Dunphy,16,4,79,20.77,43.62,64.39
Jay Test 1,CLA,2020,NC-Dilday,17,1,10,22.68,41,63.68
Jay Test 1,CLA,2020,NC-Dilday,17,2,29,22.24,41.31,63.55
Jay Test 1,CLA,2020,NC-Dilday,17,3,54,22.45,41.28,63.73
Jay Test 1,CLA,2020,NC-Dilday,17,4,69,22.84,40.56,63.4
Jay Test 1,CLA,2020,NC-Raleigh,18,1,6,22.4,41.24,63.64
Jay Test 1,CLA,2020,NC-Raleigh,18,2,33,22.14,41.72,63.86
Jay Test 1,CLA,2020,NC-Raleigh,18,3,55,22.61,41.35,63.96
Jay Test 1,CLA,2020,NC-Raleigh,18,4,65,22.17,41.53,63.7
Jay Test 1,CLA,2020,LMN09-119,19,1,9,17.52,51.56,69.08
Jay Test 1,CLA,2020,LMN09-119,19,2,23,18.55,50.2,68.75
Jay Test 1,CLA,2020,LMN09-119,19,3,60,16.97,52.65,69.62
Jay Test 1,CLA,2020,LMN09-119,19,4,66,17.71,51.98,69.69
Jay Test 1,CLA,2020,N09-09,20,1,19,19.28,47.39,66.67
Jay Test 1,CLA,2020,N09-09,20,2,35,18.73,48.05,66.78
Jay Test 1,CLA,2020,N09-09,20,3,50,18.42,47.92,66.34
Jay Test 1,CLA,2020,N09-09,20,4,76,19.91,46.3,66.21
Jay Test 2,CLA,2020,N18-1575,1,1,16,20.78,47.04,67.82
Jay Test 2,CLA,2020,N18-1575,1,2,27,19.38,50.09,69.47
Jay Test 2,CLA,2020,N18-1575,1,3,51,19.79,49.49,69.28
Jay Test 2,CLA,2020,N18-1575,1,4,79,19.5,49.99,69.49
Jay Test 2,CLA,2020,N18-1579,2,1,1,20.58,45.24,65.82
Jay Test 2,CLA,2020,N18-1579,2,2,40,20.18,45.14,65.32
Jay Test 2,CLA,2020,N18-1579,2,3,53,20.57,44.42,64.99
Jay Test 2,CLA,2020,N18-1579,2,4,72,20.95,44.14,65.09
Jay Test 2,CLA,2020,N18-1628,3,1,2,18.66,50.33,68.99
Jay Test 2,CLA,2020,N18-1628,3,2,34,18.73,50.09,68.82
Jay Test 2,CLA,2020,N18-1628,3,3,43,18.3,50.66,68.96
Jay Test 2,CLA,2020,N18-1628,3,4,76,18.45,49.5,67.95
Jay Test 2,CLA,2020,N18-1615,4,1,20,20.75,45.37,66.12
Jay Test 2,CLA,2020,N18-1615,4,2,36,21.17,44.3,65.47
Jay Test 2,CLA,2020,N18-1615,4,3,47,21.36,44.69,66.05
Jay Test 2,CLA,2020,N18-1615,4,4,73,21.99,43.04,65.03
Jay Test 2,CLA,2020,N18-1796,5,1,8,19.28,48.08,67.36
Jay Test 2,CLA,2020,N18-1796,5,2,22,18.83,49.6,68.43
Jay Test 2,CLA,2020,N18-1796,5,3,44,18.19,50.11,68.3
Jay Test 2,CLA,2020,N18-1796,5,4,63,19.67,47.53,67.2
Jay Test 2,CLA,2020,N18-1659,6,1,3,19.11,48.65,67.76
Jay Test 2,CLA,2020,N18-1659,6,2,29,18.08,49.94,68.02
Jay Test 2,CLA,2020,N18-1659,6,3,42,18.79,48.8,67.59
Jay Test 2,CLA,2020,N18-1659,6,4,61,19.02,47.76,66.78
Jay Test 2,CLA,2020,N18-1643,7,1,6,20.08,46.23,66.31
Jay Test 2,CLA,2020,N18-1643,7,2,26,21.12,44.37,65.49
Jay Test 2,CLA,2020,N18-1643,7,3,59,20.78,45.28,66.06
Jay Test 2,CLA,2020,N18-1643,7,4,75,22.4,42.13,64.53
Jay Test 2,CLA,2020,N18-1661,8,1,9,21.07,45.13,66.2
