Test,Loc,Year,Genotype,Code,Rep,Plot,FC,MD,AgScore,PB,HT,DET,LOD,Yield,SDWT,Estimated_Seed_Count,Oil,Protein,Protein_Plus_Oil
Yield Test 1,Ply,2019,N18-1619,12,3,115,P,52,2,T,40,I,1.5,2966.740575,NA,NA,20.25,45.5,65.75
Yield Test 1,Ply,2019,N18-1622,13,1,9,S,48,3.5,T,40,D,3.5,2434.555962,15,7313.333333,22.39,42.43,64.82
Yield Test 1,Ply,2019,N18-1622,13,2,46,S,51,2.5,T,38,D,2,2793.192465,15.9,7915.72327,21.92,42.88,64.8
Yield Test 1,Ply,2019,N18-1622,13,3,132,S,51,3.5,T,38,D,3,2707.97191,NA,NA,21.59,43.34,64.93
Yield Test 1,Ply,2019,N18-1626,14,1,6,P,48,2.5,T,30,D,2.5,2713.298195,15.9,7689.308176,19.44,49.41,68.85
Yield Test 1,Ply,2019,N18-1626,14,2,88,P,49,2.5,T,36,D,2,2757.240043,15.7,7913.375796,19.81,48.55,68.36
Yield Test 1,Ply,2019,N18-1626,14,3,109,P,49,3,T,36,D,2.5,2337.795124,NA,NA,19.68,48.1,67.78
Yield Test 1,Ply,2019,N18-1627,15,1,1,P,49,2.5,T,40,D,2.5,2688.664128,16.9,7168.639053,21.53,44.82,66.35
Yield Test 1,Ply,2019,N18-1627,15,2,67,P,49,2.5,T,34,D,2.5,2825.372102,16,7956.875,21.96,44.62,66.58
Yield Test 1,Ply,2019,N18-1627,15,3,92,P,49,2.5,T,40,D,2,2980.944001,NA,NA,21.04,46.25,67.29
Yield Test 1,Ply,2019,N18-1643,16,1,2,W,49,3,T,31,D,2.5,2604.997073,14.6,8039.726027,22.98,42.12,65.1
Yield Test 1,Ply,2019,N18-1643,16,2,84,W,49,2,T,33,D,2,3020.003422,15.6,8723.076923,22.26,43.61,65.87
Yield Test 1,Ply,2019,N18-1643,16,3,91,W,51,2,T,35,D,2,2745.255903,NA,NA,22.26,43.52,65.78
Yield Test 1,Ply,2019,N18-1655,17,1,30,W,49,3,T,36,D,2.5,2411.697324,15.1,7196.688742,20.36,47.8,68.16
Yield Test 1,Ply,2019,N18-1655,17,2,75,W,49,3.5,T,36,D,3,2754.354973,14.8,8385.810811,19.41,48.72,68.13
Yield Test 1,Ply,2019,N18-1655,17,3,108,W,50,3,T,33,D,2,3021.113064,NA,NA,19.92,47.01,66.93
Yield Test 1,Ply,2019,N18-1659,18,1,21,P,50,2.5,T,38,D,2,2481.826739,14.7,7607.482993,20.03,49.12,69.15
Yield Test 1,Ply,2019,N18-1659,18,2,63,P,48,3,T,32,D,2.5,2630.074996,14.2,8345.774648,21.03,46.85,67.88
Yield Test 1,Ply,2019,N18-1659,18,3,117,P,52,3,T,38,I,2,3261.905518,NA,NA,20.25,47.9,68.15
Yield Test 1,Ply,2019,N18-1660,19,1,24,W,50,3,T,40,D,3,2339.570552,12.2,8640.983607,23.08,40.89,63.97
Yield Test 1,Ply,2019,N18-1660,19,2,64,W,49,3.5,T,36,D,2.5,2524.658945,13.8,8243.478261,22.6,41.89,64.49
Yield Test 1,Ply,2019,N18-1660,19,3,96,W,51,2,T,41,D,2.5,2980.056286,NA,NA,21.99,42.57,64.56
Yield Test 1,Ply,2019,N18-1661,20,1,18,P,49,3,T,38,D,3,2898.830445,14.1,9263.829787,22.77,43.21,65.98
Yield Test 1,Ply,2019,N18-1661,20,2,79,P,50,2.5,T,39,D,2.5,2749.916402,15,8260.666667,22.93,42.9,65.83
Yield Test 1,Ply,2019,N18-1661,20,3,126,P,52,3,T,40,D,2.5,3229.503953,NA,NA,22.1,43.44,65.54
Yield Test 1,Ply,2019,N18-1664,21,1,16,P,50,2.5,T,29,D,2,2911.480371,12.9,10169.76744,20.98,44.47,65.45
Yield Test 1,Ply,2019,N18-1664,21,2,52,P,49,3,T,35,D,3,2752.357616,13.3,9324.81203,20.72,44.99,65.71
Yield Test 1,Ply,2019,N18-1664,21,3,98,P,49,2.5,T,39,D,2.5,3015.564851,NA,NA,20.72,44.55,65.27
Yield Test 1,Ply,2019,N18-1669,22,1,7,P,50,2,T,37,D,2,3108.109048,15,9336.666667,22.28,42.69,64.97
Yield Test 1,Ply,2019,N18-1669,22,2,56,P,53,2,T,37,D,2.5,3186.22789,16.2,8862.345679,21.83,43.34,65.17
Yield Test 1,Ply,2019,N18-1669,22,3,134,P,51,2,T,37,D,1.5,3235.496023,NA,NA,22.58,42.21,64.79
Yield Test 1,Ply,2019,N18-1701,23,1,35,W,50,3.5,T,38,D,3,2426.122678,15,7288,21.48,47.01,68.49
Yield Test 1,Ply,2019,N18-1701,23,2,68,W,49,3.5,T,42,D,3,2583.026148,14.6,7971.917808,20.66,48.32,68.98
Yield Test 1,Ply,2019,N18-1701,23,3,105,W,49,2.5,T,42,D,2.5,2590.571718,NA,NA,20.74,47.59,68.33
Yield Test 1,Ply,2019,N18-1704,24,1,8,P,48,3,T,40,D,3,2790.751251,14.1,8918.439716,19.57,47.26,66.83
Yield Test 1,Ply,2019,N18-1704,24,2,57,P,49,3.5,T,33,D,3,2552.843868,14.1,8158.156028,20.56,45.87,66.43
Yield Test 1,Ply,2019,N18-1704,24,3,94,P,49,3,T,38,I,2,3183.12089,NA,NA,19.87,46.68,66.55
Yield Test 1,Ply,2019,N18-1719,25,1,37,S,48,3.5,T,32,D,3.5,2403.485968,13.7,7905.109489,22.19,45.26,67.45
Yield Test 1,Ply,2019,N18-1719,25,2,86,S,50,3.5,T,39,I,3,2424.34725,14,7802.857143,20.56,46.82,67.38
Yield Test 1,Ply,2019,N18-1719,25,3,106,S,49,3,T,39,D,2,2372.859831,NA,NA,21.79,44.75,66.54
Yield Test 1,Ply,2019,N18-1724,26,1,38,S,47,3,T,32,D,3.5,2564.828009,14,8255,21.02,45.02,66.04
Yield Test 1,Ply,2019,N18-1724,26,2,66,W,51,3.5,T,30,D,2.5,3031.765634,14.2,9620.422535,21.81,44.23,66.04
Yield Test 1,Ply,2019,N18-1724,26,3,99,W,51,3.5,T,44,I,3.5,2822.708959,NA,NA,21.89,43.85,65.74
Yield Test 1,Ply,2019,N18-1728,27,1,22,W,50,3,T,40,D,3,2435.221748,15.7,6989.171975,21.66,44.02,65.68
Yield Test 1,Ply,2019,N18-1728,27,2,74,W,49,3.5,T,31,D,3.5,2859.549095,14.1,9138.297872,21.6,43.55,65.15
Yield Test 1,Ply,2019,N18-1728,27,3,95,W,51,3,T,33,I,3.5,2513.784447,NA,NA,21.2,43.67,64.87
Yield Test 1,Ply,2019,N18-1737,28,1,17,P,49,2,T,35,D,1.5,2784.759181,14.7,8536.054422,20.5,47.08,67.58
Yield Test 1,Ply,2019,N18-1737,28,2,62,P,49,2.5,T,37,D,2,2636.732852,14.9,7973.825503,20.51,46.36,66.87
Yield Test 1,Ply,2019,N18-1737,28,3,123,P,49,3,T,38,D,2.5,3024.885849,NA,NA,20.69,47.27,67.96
Yield Test 1,Ply,2019,N18-1744,29,1,12,S,48,2,T,36,D,1.5,2652.489778,13.4,8919.402985,20.54,44.98,65.52
Yield Test 1,Ply,2019,N18-1744,29,2,82,W,49,2.5,T,38,D,1.5,2938.999509,13.4,9882.835821,20.45,45.22,65.67
Yield Test 1,Ply,2019,N18-1744,29,3,133,W,50,2,T,39,D,2,3134.074686,NA,NA,20.31,46,66.31
Yield Test 1,Ply,2019,N18-1758,30,1,11,P,48,3.5,T,36,D,3,2457.636529,17.5,6328,21.62,45.5,67.12
Yield Test 1,Ply,2019,N18-1758,30,2,51,P,49,3.5,T,38,D,3,2579.253363,16.4,7086.585366,21.85,45.48,67.33
Yield Test 1,Ply,2019,N18-1758,30,3,97,P,50,3.5,T,33,I,3,2362.207262,NA,NA,21.45,45.7,67.15
Yield Test 1,Ply,2019,N18-1761,31,1,23,P,48,1.5,T,32,D,1.5,2572.595507,14.8,7832.432432,20.53,48.23,68.76
Yield Test 1,Ply,2019,N18-1761,31,2,59,P,49,2.5,T,36,D,2.5,2612.320714,14.7,8007.482993,20.61,48.53,69.14
Yield Test 1,Ply,2019,N18-1761,31,3,124,P,49,2.5,T,36,D,2,2598.783074,NA,NA,20.38,48.24,68.62
Yield Test 1,Ply,2019,N18-1764,32,1,5,S,48,2,T,35,D,2.5,2874.418307,14,9251.428571,20.17,47.1,67.27
Yield Test 1,Ply,2019,N18-1764,32,2,90,S,49,2,T,36,D,2,2622.307498,14.3,8262.937063,20.32,47.06,67.38
Yield Test 1,Ply,2019,N18-1764,32,3,104,S,49,2,T,37,D,2,2939.887223,NA,NA,20.99,45.81,66.8
Yield Test 1,Ply,2019,N18-1769,33,1,3,W,47,3,T,35,D,3,2809.837105,13.8,9174.637681,20.38,47.14,67.52
Yield Test 1,Ply,2019,N18-1769,33,2,89,W,49,2,T,35,D,2,2930.122367,15.2,8686.184211,20.9,46.33,67.23
Yield Test 1,Ply,2019,N18-1769,33,3,127,W,49,2,T,38,D,2,3206.645314,NA,NA,20.47,46.83,67.3
Yield Test 1,Ply,2019,N18-1783,34,1,19,P,49,3,T,36,D,2.5,2416.579751,14.4,7561.805556,21.71,45.06,66.77
Yield Test 1,Ply,2019,N18-1783,34,2,87,P,49,2.5,T,37,D,2,2703.089482,13.9,8762.589928,21.86,45.35,67.21
Yield Test 1,Ply,2019,N18-1783,34,3,129,P,49,3,T,38,D,3,2647.60735,NA,NA,22.07,44.64,66.71
Yield Test 1,Ply,2019,N18-1792,35,1,14,P,49,2,T,33,D,1.5,2585.911219,16.3,7148.466258,20.65,48.44,69.09
Yield Test 1,Ply,2019,N18-1792,35,2,69,P,49,2.5,T,35,D,2,2494.476665,16.9,6650.887574,20.62,47.69,68.31
Yield Test 1,Ply,2019,N18-1792,35,3,103,P,50,2,T,37,D,1.5,2737.488404,NA,NA,21.34,45.21,66.55
Yield Test 1,Ply,2019,N18-1796,36,1,33,W,49,2.5,T,36,D,2,2717.514837,13.7,8937.956204,20.97,46.35,67.32
Yield Test 1,Ply,2019,N18-1796,36,2,73,W,50,3,T,36,D,3,2935.004795,13.7,9653.284672,21.01,46.39,67.4
Yield Test 1,Ply,2019,N18-1796,36,3,128,W,50,3,T,39,D,3,3383.744281,NA,NA,20.68,47.4,68.08
Yield Test 1,Ply,2019,N18-1803,37,1,36,W,49,2,T,38,D,2,2844.014098,13.5,9492.592593,22,43.05,65.05
Yield Test 1,Ply,2019,N18-1803,37,2,76,W,51,2,T,32,D,2.5,3076.817125,14.3,9695.104895,20.97,44.92,65.89
