Test,Loc,Year,Genotype,Code,Rep,Plot,FC,MD,AgScore,PB,HT,DET,LOD,Yield,SDWT,Estimated_Seed_Count,Oil,Protein,Protein_Plus_Oil
Yield Test 2,Ply,2019,N18-1663,64,1,42,W,49,2.5,T,40,D,2.5,2254.349997,14.9,6817.449664,20.73,45.48,66.21
Yield Test 2,Ply,2019,N18-1663,64,2,67,W,50,3,T,40,D,3,2738.15419,17.2,7173.255814,20.05,47.45,67.5
Yield Test 2,Ply,2019,N18-1663,64,3,100,W,51,2,T,44,D,2,2988.489571,NA,NA,21.11,45.19,66.3
Yield Test 2,Ply,2019,N18-1665,65,1,18,P,50,3,T,39,D,3,2866.206951,15.1,8552.980132,22.54,42.66,65.2
Yield Test 2,Ply,2019,N18-1665,65,2,50,P,50,3.5,T,40,D,3,2822.930888,14.7,8653.061224,22.51,42.9,65.41
Yield Test 2,Ply,2019,N18-1665,65,3,110,P,50,3,T,38,D,3,2780.764467,NA,NA,23.03,40.48,63.51
Yield Test 2,Ply,2019,N18-1674,66,1,15,W,50,3,T,31,D,2.5,2942.550365,15.3,8666.013072,22.22,44.78,67
Yield Test 2,Ply,2019,N18-1674,66,2,69,W,51,3,T,38,D,3,2691.771127,15,8086,22.48,43.63,66.11
Yield Test 2,Ply,2019,N18-1674,66,3,117,W,51,3.5,T,46,I,3,3119.427403,NA,NA,22.2,44.39,66.59
Yield Test 2,Ply,2019,N18-1675,67,1,45,P,49,2,T,37,D,2,2545.742155,15.3,7497.385621,20.42,46.6,67.02
Yield Test 2,Ply,2019,N18-1675,67,2,64,P,49,3,T,42,D,3,2968.737931,16,8360.625,20.33,46.75,67.08
Yield Test 2,Ply,2019,N18-1675,67,3,114,P,50,3,T,46,D,3,3134.9624,NA,NA,20.45,47.13,67.58
Yield Test 2,Ply,2019,N18-1682,68,1,41,W,51,3,T,38,D,3,2304.283916,15.5,6698.709677,22.6,44.05,66.65
Yield Test 2,Ply,2019,N18-1682,68,2,53,W,51,3,T,35,I,3,2664.25199,15.2,7898.026316,21.77,45.89,67.66
Yield Test 2,Ply,2019,N18-1682,68,3,107,W,51,2.5,T,39,D,3,3029.102491,NA,NA,22.28,44.34,66.62
Yield Test 2,Ply,2019,N18-1688,69,1,3,P,50,3,T,35,D,2.5,2754.354973,15.1,8219.205298,21.67,44.61,66.28
Yield Test 2,Ply,2019,N18-1688,69,2,55,S,51,3.5,T,38,D,3,2786.534609,16.1,7798.757764,21.97,44.79,66.76
Yield Test 2,Ply,2019,N18-1688,69,3,130,P,51,3,T,37,D,2.5,2849.118454,NA,NA,22.46,42.72,65.18
Yield Test 2,Ply,2019,N18-1699,70,1,4,W,49,2,T,36,D,2,2807.395891,15.6,8108.974359,20.75,46.95,67.7
Yield Test 2,Ply,2019,N18-1699,70,2,72,W,49,2.5,T,41,D,3,2794.967893,14.6,8626.027397,21.53,45.9,67.43
Yield Test 2,Ply,2019,N18-1699,70,3,115,W,49,3,T,41,D,3,3207.533029,NA,NA,20.08,48.51,68.59
Yield Test 2,Ply,2019,N18-1711,71,1,22,W,49,2,T,34,D,2,2626.302211,13.1,9033.587786,22.53,43.11,65.64
Yield Test 2,Ply,2019,N18-1711,71,2,65,W,49,2,T,38,D,2,3117.430046,14.7,9555.782313,21.49,45.09,66.58
Yield Test 2,Ply,2019,N18-1711,71,3,123,W,49,3,T,39,I,3,3146.058826,NA,NA,22.07,43.55,65.62
Yield Test 2,Ply,2019,N18-1731,72,1,43,W,50,3,T,43,D,2,2876.637592,17.7,7323.163842,22.59,44.38,66.97
Yield Test 2,Ply,2019,N18-1731,72,2,68,W,51,3,T,44,I,2.5,2737.710333,17.1,7214.035088,22.29,44,66.29
Yield Test 2,Ply,2019,N18-1731,72,3,106,W,51,3,T,31,D,2,2897.942731,NA,NA,22.21,44.82,67.03
Yield Test 2,Ply,2019,N18-1745,73,1,6,W,50,1.5,T,40,D,1.5,2891.506803,15.1,8628.476821,21.56,45.26,66.82
Yield Test 2,Ply,2019,N18-1745,73,2,62,W,51,2,T,37,D,2,2618.534713,16.1,7328.571429,21.74,44.23,65.97
Yield Test 2,Ply,2019,N18-1745,73,3,127,W,51,3,T,41,I,3,2888.399804,NA,NA,21.19,45.3,66.49
Yield Test 2,Ply,2019,N18-1747,74,1,32,W,50,2.5,T,38,D,2.5,2062.381819,16.1,5772.049689,20.27,46.89,67.16
Yield Test 2,Ply,2019,N18-1747,74,2,61,S,51,2.5,T,35,D,3,2312.495271,16.8,6202.380952,19.77,48.41,68.18
Yield Test 2,Ply,2019,N18-1747,74,3,103,W,51,2.5,T,47,D,2,2282.091063,NA,NA,20.85,44.64,65.49
Yield Test 2,Ply,2019,N18-1748,75,1,23,S,49,2.5,T,46,I,2,3089.910908,14.5,9602.068966,20.78,45.47,66.25
Yield Test 2,Ply,2019,N18-1748,75,2,81,S,50,3,T,50,I,2,3055.955843,14.4,9562.5,20.92,45.62,66.54
Yield Test 2,Ply,2019,N18-1748,75,3,111,S,50,3.5,T,46,I,3.5,3422.137916,NA,NA,21.2,44.53,65.73
Yield Test 2,Ply,2019,N18-1751,76,1,9,P,50,3.5,T,33,D,3,3054.846201,15.9,8657.232704,21.73,44.17,65.9
Yield Test 2,Ply,2019,N18-1751,76,2,74,P,51,2,T,38,D,2,3194.217317,16.5,8723.030303,22.61,43.14,65.75
Yield Test 2,Ply,2019,N18-1751,76,3,124,P,50,3,T,40,I,3,3484.055976,NA,NA,22.76,43.48,66.24
Yield Test 2,Ply,2019,N18-1763,77,1,17,P,50,2.5,T,37,D,2,2696.653555,13.3,9136.090226,20.84,46.87,67.71
Yield Test 2,Ply,2019,N18-1763,77,2,83,P,51,2.5,T,38,D,2.5,3068.605769,14.8,9342.567568,20.9,46.77,67.67
Yield Test 2,Ply,2019,N18-1763,77,3,99,P,51,2.5,T,39,D,3,3135.628185,NA,NA,21.09,47.07,68.16
Yield Test 2,Ply,2019,N18-1777,78,1,34,P,50,2.5,T,37,D,2.5,2937.889866,15.6,8485.897436,21.5,43.73,65.23
Yield Test 2,Ply,2019,N18-1777,78,2,49,P,51,3,T,38,D,2.5,3038.645418,15.9,8611.320755,21.55,44.11,65.66
Yield Test 2,Ply,2019,N18-1777,78,3,129,P,52,3.5,T,42,D,3,2393.499184,NA,NA,21.1,44.06,65.16
Yield Test 2,Ply,2019,N18-1810,79,1,7,W,49,2.5,T,36,D,2.5,2441.879604,13.4,8211.19403,20.49,46.37,66.86
Yield Test 2,Ply,2019,N18-1810,79,2,86,W,49,2.5,T,39,D,2,2867.316594,13.5,9570.37037,19.86,47.6,67.46
Yield Test 2,Ply,2019,N18-1810,79,3,92,P,51,3,T,40,D,3,2890.841018,NA,NA,20.15,46.76,66.91
Yield Test 2,Ply,2019,N18-1812,80,1,20,P,51,3,T,40,D,3,2572.15165,14.9,7778.52349,20.61,46.09,66.7
Yield Test 2,Ply,2019,N18-1812,80,2,71,P,50,3.5,T,38,D,3,2631.184639,15.1,7851.655629,20.61,46.12,66.73
Yield Test 2,Ply,2019,N18-1812,80,3,125,P,50,3.5,T,47,I,3,2939.665294,NA,NA,20.4,46.3,66.7
Yield Test 2,Ply,2019,N18-1817,81,1,31,P,50,2,T,38,D,2,2483.602167,17.1,6544.444444,20.51,47.34,67.85
Yield Test 2,Ply,2019,N18-1817,81,2,59,P,50,3,T,40,D,2.5,2460.299672,18.1,6124.861878,21.21,46.43,67.64
Yield Test 2,Ply,2019,N18-1817,81,3,97,P,51,2.5,T,41,D,2,2924.352226,NA,NA,20.8,47.74,68.54
Yield Test 2,Ply,2019,N18-1818,82,1,40,P,49,3.5,T,36,D,3.5,2112.315738,13.1,7265.648855,20.32,46.33,66.65
Yield Test 2,Ply,2019,N18-1818,82,2,56,P,50,2,T,42,D,2,2731.274405,15.1,8150.331126,19.56,48.24,67.8
Yield Test 2,Ply,2019,N18-1818,82,3,94,P,51,3,T,46,D,3,2789.41968,NA,NA,20.2,47.36,67.56
Yield Test 2,Ply,2019,N18-1821,83,1,16,W,50,2,T,38,D,2,3071.934697,17.4,7955.172414,21.73,44.57,66.3
Yield Test 2,Ply,2019,N18-1821,83,2,51,W,51,3.5,T,36,D,3.5,2968.516003,16.8,7961.904762,22.32,44.15,66.47
Yield Test 2,Ply,2019,N18-1821,83,3,95,W,51,2.5,T,37,D,2.5,3030.655991,NA,NA,22.13,43.22,65.35
Yield Test 2,Ply,2019,N18-1822,84,1,12,W,52,2.5,T,38,D,2.5,2702.645625,16.9,7205.91716,19.49,48.43,67.92
Yield Test 2,Ply,2019,N18-1822,84,2,89,W,53,3,T,41,I,2,2563.496438,18.1,6381.767956,20.04,48.26,68.3
Yield Test 2,Ply,2019,N18-1822,84,3,116,W,55,3,T,40,I,2.5,2337.351267,NA,NA,19.85,47.81,67.66
Yield Test 2,Ply,2019,N18-1823,85,1,24,P,52,1.5,T,44,I,1.5,2886.846304,17.6,7390.909091,21.95,44.32,66.27
Yield Test 2,Ply,2019,N18-1823,85,2,90,P,57,3,T,39,D,3,3026.883206,19.5,6994.358974,21.75,44.94,66.69
Yield Test 2,Ply,2019,N18-1823,85,3,134,P,59,3,T,38,I,3,2738.598047,NA,NA,22.08,44.99,67.07
Yield Test 2,Ply,2019,Osage,88,1,10,P,49,2.5,G,29,D,2.5,2935.670581,13.1,10097.70992,21.49,45.05,66.54
Yield Test 2,Ply,2019,Osage,88,2,66,P,49,2,G,32,D,2,3010.238566,13.5,10047.40741,21.61,44.96,66.57
Yield Test 2,Ply,2019,Osage,88,3,105,P,49,2.5,G,33,D,3,3118.31776,NA,NA,21.16,44.9,66.06
Yield Test 2,Ply,2019,Roy,90,1,13,W,51,3,G,42,I,3,2602.777787,12.2,9613.114754,21.34,43.66,65
Yield Test 2,Ply,2019,Roy,90,2,80,W,51,2.5,G,36,I,2,2752.801473,13,9541.538462,21.75,43.12,64.87
Yield Test 2,Ply,2019,Roy,90,3,102,W,52,3,G,47,I,3,2495.808236,NA,NA,22.51,40.79,63.3
Yield Test 3,Ply,2019,Dilday,44,1,4,P,54,3.5,G,34,I,3,3306.513152,16.8,8868.452381,23.7,40.66,64.36
Yield Test 3,Ply,2019,Dilday,44,2,53,P,54,3.5,G,38,D,3,3279.437872,18.4,8030.978261,23.74,41,64.74
Yield Test 3,Ply,2019,Dilday,44,3,115,P,53,2.5,G,42,I,2,3134.296614,NA,NA,23.7,39.78,63.48
Yield Test 3,Ply,2019,Dunphy,43,1,43,P,55,3,G,33,D,2.5,3343.575217,16,9416.25,22.55,41.92,64.47
Yield Test 3,Ply,2019,Dunphy,43,2,78,P,51,2.5,G,36,D,2,2708.415767,16.9,7221.301775,21.3,42.86,64.16
Yield Test 3,Ply,2019,Dunphy,43,3,97,P,51,3,G,36,D,3,3227.506596,NA,NA,23.2,40.69,63.89
Yield Test 3,Ply,2019,LMN09-19,41,1,44,P,56,2.5,G,34,I,2.5,2887.290161,19.6,6637.755102,19.16,51.28,70.44
Yield Test 3,Ply,2019,LMN09-19,41,2,61,S,57,3,T,35,I,2.5,2178.45044,18.3,5363.934426,19.57,49.96,69.53
Yield Test 3,Ply,2019,LMN09-19,41,3,123,P,57,3.5,G,40,I,2.5,2941.662651,NA,NA,19.36,49.71,69.07
Yield Test 3,Ply,2019,N.C. Raleigh,45,1,35,W,59,2,T,39,I,2,2837.800099,13.5,9471.851852,24.26,39.99,64.25
Yield Test 3,Ply,2019,N.C. Raleigh,45,2,72,W,57,2,T,44,D,2,3363.104927,13.9,10902.15827,24.39,40.3,64.69
Yield Test 3,Ply,2019,N.C. Raleigh,45,3,105,W,62,1.5,T,42,I,2,2818.492317,NA,NA,23.9,41.52,65.42
Yield Test 3,Ply,2019,N13-47,42,1,41,P,52,4,T,41,I,3.5,2607.660215,13,9038.461538,25.58,38.58,64.16
Yield Test 3,Ply,2019,N13-47,42,2,87,P,50,3.5,T,43,I,3,2463.406671,14,7928.571429,25.97,39.17,65.14
Yield Test 3,Ply,2019,N13-47,42,3,100,P,51,3.5,T,39,I,3,2403.929825,NA,NA,24.81,39.91,64.72
Yield Test 3,Ply,2019,N18-1835,1,1,34,S,59,3,T,35,I,3,2751.69183,16.3,7606.748466,22.16,47.1,69.26
Yield Test 3,Ply,2019,N18-1835,1,2,57,P,51,3.5,T,44,I,3,2451.866388,15.6,7082.051282,22.74,45.9,68.64
Yield Test 3,Ply,2019,N18-1835,1,3,110,P,52,3,T,37,I,2.5,1918.572133,NA,NA,22.19,46.88,69.07
Yield Test 3,Ply,2019,N18-1837,2,1,6,P,52,3,T,38,I,3,2762.788257,17.5,7113.714286,21.97,45.61,67.58
Yield Test 3,Ply,2019,N18-1837,2,2,51,P,52,3,T,37,I,3.5,2419.908679,19.4,5620.618557,21.69,46.03,67.72
Yield Test 3,Ply,2019,N18-1837,2,3,120,P,50,3.5,T,44,I,3,2078.138745,NA,NA,21.99,44.79,66.78
Yield Test 3,Ply,2019,N18-1838,3,1,21,P,51,3.5,T,30,I,3.5,2266.999923,15.6,6548.076923,21.51,46.66,68.17
Yield Test 3,Ply,2019,N18-1838,3,2,60,P,51,3.5,G,29,I,3,2369.530903,15.9,6715.09434,21.53,47.19,68.72
Yield Test 3,Ply,2019,N18-1838,3,3,103,P,51,3.5,T,40,I,3.5,2591.237504,NA,NA,21.8,46.11,67.91
Yield Test 3,Ply,2019,N18-1840,4,1,23,P,51,3.5,T,30,I,3.5,2327.80834,16.6,6318.674699,23.69,43.4,67.09
Yield Test 3,Ply,2019,N18-1840,4,2,56,P,50,3.5,T,40,D,3,2469.398741,17,6545.294118,23.15,44,67.15
Yield Test 3,Ply,2019,N18-1840,4,3,93,P,51,3.5,T,39,D,2.5,2487.596881,NA,NA,23.74,44.37,68.11
Yield Test 3,Ply,2019,N18-1844,5,1,30,P,53,3.5,T,37,I,3,2785.203038,17.1,7339.181287,23.04,43.82,66.86
Yield Test 3,Ply,2019,N18-1844,5,2,85,P,52,2,T,42,I,1.5,2674.682631,18.5,6514.594595,22.61,45.5,68.11
Yield Test 3,Ply,2019,N18-1844,5,3,135,P,53,3.5,T,38,I,3,2188.881081,NA,NA,23.22,42.75,65.97
Yield Test 3,Ply,2019,N18-1855,6,1,26,P,54,3,T,40,I,2,2901.715516,18.3,7144.808743,21.86,47.11,68.97
Yield Test 3,Ply,2019,N18-1855,6,2,81,P,52,3,T,39,I,2,2723.284978,18.7,6562.032086,23.07,44.34,67.41
Yield Test 3,Ply,2019,N18-1855,6,3,128,P,48,3,T,33,I,NA,2832.695743,NA,NA,22.78,45.3,68.08
Yield Test 3,Ply,2019,N18-1856,7,1,24,P,57,3,T,46,I,3,2719.068336,17,7207.058824,21.51,46.44,67.95
Yield Test 3,Ply,2019,N18-1856,7,2,48,P,60,3.5,T,44,I,3,2296.738346,17,6087.647059,21.07,47.18,68.25
Yield Test 3,Ply,2019,N18-1856,7,3,125,P,51,3.5,T,42,I,3,2509.789734,NA,NA,21.56,44.49,66.05
Yield Test 3,Ply,2019,N18-1857,8,1,16,P,50,3.5,T,40,I,3,2629.853068,15.8,7500,22.92,45.72,68.64
Yield Test 3,Ply,2019,N18-1857,8,2,90,P,52,3,T,33,I,3,1596.775766,17.2,4183.139535,23.64,43.78,67.42
Yield Test 3,Ply,2019,N18-1857,8,3,121,P,49,4,T,42,I,4,1805.166654,NA,NA,23.13,44.96,68.09
Yield Test 3,Ply,2019,N18-1858,9,1,11,P,51,3.5,T,40,I,3,2774.550469,16.1,7765.217391,21.37,46.78,68.15
Yield Test 3,Ply,2019,N18-1858,9,2,68,P,51,2.5,T,30,I,2,2179.338154,16,6137.5,21.22,47.43,68.65
Yield Test 3,Ply,2019,N18-1858,9,3,96,P,49,3.5,T,39,I,3,2292.743632,NA,NA,22.16,46.4,68.56
Yield Test 3,Ply,2019,N18-1860,10,1,3,P,52,3.5,T,33,I,3,2761.012828,16,7775.625,22.16,45.86,68.02
Yield Test 3,Ply,2019,N18-1860,10,2,69,P,52,3,G,30,I,3,2532.870301,15.9,7177.987421,21.81,46.54,68.35
Yield Test 3,Ply,2019,N18-1860,10,3,108,P,51,3.5,G,35,I,3.5,1871.301356,NA,NA,21.04,47.57,68.61
Yield Test 3,Ply,2019,N18-1861,11,1,38,P,51,3.5,G,35,I,3,NA,NA,NA,21.67,47.06,68.73
Yield Test 3,Ply,2019,N18-1861,11,2,80,P,51,3.5,G,33,I,3,2188.659152,16.3,6050.306748,21.87,47.1,68.97
Yield Test 3,Ply,2019,N18-1861,11,3,109,P,52,3.5,T,41,I,3.5,2650.492421,NA,NA,21.11,47.97,69.08
Yield Test 3,Ply,2019,N18-1864,12,1,40,P,50,3.5,T,37,D,2.5,2176.675012,15.7,6247.133758,21.24,48.16,69.4
Yield Test 3,Ply,2019,N18-1864,12,2,70,P,49,3,T,32,I,3,2357.102906,15.6,6808.333333,21.77,47.49,69.26
Yield Test 3,Ply,2019,N18-1864,12,3,134,P,49,3.5,T,36,I,3,2422.79375,NA,NA,22.48,44.69,67.17
Yield Test 3,Ply,2019,N18-1870,13,1,9,P,50,3.5,T,41,I,3,2660.701133,15.3,7835.947712,22.01,46.7,68.71
Yield Test 3,Ply,2019,N18-1870,13,2,62,P,49,3.5,T,39,I,2.5,2510.233591,15.5,7297.419355,22.42,46.98,69.4
Yield Test 3,Ply,2019,N18-1870,13,3,117,P,49,3,T,42,I,2.5,2367.977404,NA,NA,21.96,47.04,69
Yield Test 3,Ply,2019,N18-1875,14,1,2,P,51,3.5,T,34,I,2,2721.065693,17.7,6927.118644,20.8,48.4,69.2
Yield Test 3,Ply,2019,N18-1875,14,2,79,P,50,2,T,40,I,2,2438.994533,16.6,6620.481928,21.18,47.15,68.33
Yield Test 3,Ply,2019,N18-1875,14,3,92,P,50,3,T,35,I,2,2785.203038,NA,NA,21,47.74,68.74
Yield Test 3,Ply,2019,N18-1882,15,1,22,P,51,2.5,T,36,I,2,2467.845242,17.3,6427.745665,22,47.24,69.24
Yield Test 3,Ply,2019,N18-1882,15,2,49,P,50,2.5,T,38,I,2,3052.404987,16.9,8138.461538,21.17,49.07,70.24
Yield Test 3,Ply,2019,N18-1882,15,3,130,P,44,3,T,44,I,2,2271.216565,NA,NA,21.34,48.09,69.43
Yield Test 3,Ply,2019,N18-1884,16,1,28,P,51,3.5,T,36,I,3,2300.067274,16.1,6437.267081,21.77,46.9,68.67
Yield Test 3,Ply,2019,N18-1884,16,2,77,P,51,3,T,33,I,2.5,2168.241728,14.1,6929.078014,22.19,46.62,68.81
Yield Test 3,Ply,2019,N18-1884,16,3,118,P,49,3.5,T,39,I,3,2064.601105,NA,NA,22.15,45.25,67.4
Yield Test 3,Ply,2019,N18-1906,17,1,36,P,50,2.5,T,41,I,2,2483.602167,17.4,6431.609195,22.42,44.49,66.91
Yield Test 3,Ply,2019,N18-1906,17,2,89,P,53,2.5,T,41,I,2.5,2323.813626,16.2,6463.580247,23.58,43.68,67.26
Yield Test 3,Ply,2019,N18-1906,17,3,104,P,56,3,T,41,D,2.5,2889.731375,NA,NA,21.87,45,66.87
Yield Test 3,Ply,2019,N18-1908,18,1,37,P,57,3.5,T,44,I,3.5,2668.69056,18.6,6465.053763,22.71,44.56,67.27
Yield Test 3,Ply,2019,N18-1908,18,2,58,P,48,3.5,T,38,I,3,2373.303688,17.5,6110.857143,22.87,44.11,66.98
Yield Test 3,Ply,2019,N18-1908,18,3,114,P,53,4,T,44,I,4,2432.558606,NA,NA,22.79,44,66.79
Yield Test 3,Ply,2019,N18-1910,19,1,45,P,48,2,T,31,I,2.5,2701.535983,17.9,6800.558659,22.39,44.35,66.74
Yield Test 3,Ply,2019,N18-1910,19,2,75,P,43,1.5,T,38,I,2,2401.266683,19.1,5664.921466,21.92,45.67,67.59
Yield Test 3,Ply,2019,N18-1910,19,3,129,P,51,3.5,T,30,I,3.5,2706.41841,NA,NA,22.97,43.88,66.85
Yield Test 3,Ply,2019,N18-1922,20,1,29,P,52,3.5,T,38,I,3,2618.534713,14.9,7918.791946,22.14,44.67,66.81
Yield Test 3,Ply,2019,N18-1922,20,2,88,P,49,3,G,43,I,2.5,2619.200498,15.6,7565.384615,22.4,43.56,65.96
Yield Test 3,Ply,2019,N18-1922,20,3,119,P,50,3.5,G,43,I,3,1995.803261,NA,NA,21.99,43.87,65.86
Yield Test 3,Ply,2019,N18-1923,21,1,12,P,54,3.5,T,39,I,3,2792.304751,16.7,7534.131737,22.99,43.91,66.9
Yield Test 3,Ply,2019,N18-1923,21,2,63,P,49,3,T,38,I,2.5,2624.304855,15.8,7484.177215,22.88,44.05,66.93
Yield Test 3,Ply,2019,N18-1923,21,3,111,P,52,2.5,T,41,I,2.5,2722.619193,NA,NA,22.92,43.63,66.55
Yield Test 3,Ply,2019,N18-1925,22,1,10,P,51,3.5,T,42,I,3,2505.129235,15.6,7235.897436,23.24,43.22,66.46
Yield Test 3,Ply,2019,N18-1925,22,2,67,P,52,3.5,G,40,I,2.5,2723.06305,16,7668.75,23.39,43.47,66.86
Yield Test 3,Ply,2019,N18-1925,22,3,127,P,55,3.5,T,39,I,3,2360.875691,NA,NA,22.89,43.03,65.92
Yield Test 3,Ply,2019,N18-1929,23,1,25,P,49,2.5,T,37,I,2,2259.010496,16.6,6131.927711,21.67,46.84,68.51
Yield Test 3,Ply,2019,N18-1929,23,2,82,P,50,2.5,T,44,I,3,1932.109773,16.5,5276.363636,21.55,46.96,68.51
Yield Test 3,Ply,2019,N18-1929,23,3,122,P,49,4,T,42,D,3.5,1865.753143,NA,NA,20.79,48.08,68.87
Yield Test 3,Ply,2019,N18-1932,24,1,31,P,55,3.5,T,35,I,3,2532.870301,20.4,5594.607843,22.56,45.06,67.62
Yield Test 3,Ply,2019,N18-1932,24,2,71,P,53,2.5,T,40,I,2,2637.398638,19.3,6157.512953,23.1,44.72,67.82
Yield Test 3,Ply,2019,N18-1932,24,3,91,P,52,2,T,38,I,2,2379.961544,NA,NA,22.46,44.8,67.26
Yield Test 3,Ply,2019,N18-1936,25,1,7,P,51,3.5,T,42,I,3,2817.604603,17.7,7172.881356,23.19,44.42,67.61
Yield Test 3,Ply,2019,N18-1936,25,2,86,P,51,2.5,T,43,I,1.5,2217.066004,16.5,6054.545455,22.74,45,67.74
Yield Test 3,Ply,2019,N18-1936,25,3,102,P,50,3.5,T,46,I,3,2352.220478,NA,NA,22.32,45.22,67.54
Yield Test 3,Ply,2019,N18-1937,26,1,13,P,52,2.5,T,39,I,2,2372.415974,17.1,6251.461988,20.62,47.44,68.06
Yield Test 3,Ply,2019,N18-1937,26,2,52,P,51,2.5,T,44,I,2,2393.943042,17.8,6060.11236,20.74,47.35,68.09
Yield Test 3,Ply,2019,N18-1937,26,3,99,P,50,2.5,T,42,I,2.5,2843.79217,NA,NA,20.66,47.9,68.56
Yield Test 3,Ply,2019,N18-1944,27,1,32,P,46,3.5,T,34,I,3,3053.736558,13,10584.61538,21.1,46.34,67.44
Yield Test 3,Ply,2019,N18-1944,27,2,54,P,51,3.5,S,37,I,2.5,2666.027418,13.4,8964.925373,21.33,46.06,67.39
Yield Test 3,Ply,2019,N18-1944,27,3,124,P,51,3.5,S,40,I,3,2737.932261,NA,NA,20.97,46.63,67.6
Yield Test 3,Ply,2019,N18-1946,28,1,19,P,51,3,T,38,I,3,2606.106715,11.6,10123.27586,22.75,44.81,67.56
Yield Test 3,Ply,2019,N18-1946,28,2,64,P,52,3,T,35,I,2,2350.44505,12.7,8339.370079,22.9,45.71,68.61
Yield Test 3,Ply,2019,N18-1946,28,3,131,P,51,3,T,33,I,3,1924.342274,NA,NA,22.07,45.12,67.19
Yield Test 3,Ply,2019,N18-1950,29,1,42,P,50,3.5,T,31,I,3,2721.731479,17.1,7171.929825,23.77,43.9,67.67
Yield Test 3,Ply,2019,N18-1950,29,2,73,P,51,2.5,T,45,I,2,2568.156937,17.4,6650.574713,23.37,43.49,66.86
Yield Test 3,Ply,2019,N18-1950,29,3,116,P,50,3.5,T,47,I,3,2620.975927,NA,NA,24.23,42.52,66.75
Yield Test 3,Ply,2019,N18-1953,30,1,8,P,50,3.5,T,39,I,2,2852.891239,19.4,6626.28866,21.43,45.36,66.79
Yield Test 3,Ply,2019,N18-1953,30,2,76,P,58,3.5,T,40,I,2.5,2551.512297,19.3,5956.994819,21.64,45.89,67.53
Yield Test 3,Ply,2019,N18-1953,30,3,133,P,66,3.5,T,38,I,3,2612.542643,NA,NA,22.84,43.55,66.39
Yield Test 3,Ply,2019,N18-1959,31,1,17,P,51,4,T,40,I,3,2568.822722,15.7,7372.611465,20.3,47.77,68.07
Yield Test 3,Ply,2019,N18-1959,31,2,84,P,44,3.5,T,36,I,3,2305.17163,16.9,6146.153846,20.43,48.54,68.97
Yield Test 3,Ply,2019,N18-1959,31,3,106,P,51,3.5,T,30,I,3.5,2404.595611,NA,NA,20.49,47.33,67.82
Yield Test 3,Ply,2019,N18-1960,32,1,14,P,48,3,T,39,I,3,2688.664128,17.3,7002.890173,19.18,49.27,68.45
Yield Test 3,Ply,2019,N18-1960,32,2,65,P,54,3,G,40,I,2,2134.286663,16.5,5828.484848,19.47,49.03,68.5
Yield Test 3,Ply,2019,N18-1960,32,3,107,P,56,3.5,T,44,I,3.5,2355.327477,NA,NA,19.33,49.87,69.2
Yield Test 3,Ply,2019,N18-1962,33,1,27,P,50,3,T,42,I,3,2694.43427,15,8094,22.74,45.43,68.17
Yield Test 3,Ply,2019,N18-1962,33,2,66,P,52,3,T,42,I,2.5,2623.639069,14.1,8384.397163,23.1,44.3,67.4
Yield Test 3,Ply,2019,N18-1962,33,3,112,P,50,3,T,40,I,2.5,2640.06178,NA,NA,23.03,44.98,68.01
Yield Test 3,Ply,2019,N18-1963,34,1,33,P,47,3,T,40,I,3,NA,NA,NA,21.67,46.75,68.42
Yield Test 3,Ply,2019,N18-1963,34,2,55,P,52,3,G,43,I,3,2182.223225,17.1,5750.292398,22.83,44.49,67.32
Yield Test 3,Ply,2019,N18-1963,34,3,126,P,49,2.5,T,40,I,2.5,2591.681361,NA,NA,23.92,42.08,66
Yield Test 3,Ply,2019,N18-1966,35,1,1,P,51,3.5,T,37,I,3,2240.590428,13.2,7648.484848,21.75,46.3,68.05
Yield Test 3,Ply,2019,N18-1966,35,2,59,P,52,3,T,42,I,2,3008.463138,14.2,9546.478873,22.09,46.75,68.84
Yield Test 3,Ply,2019,N18-1966,35,3,113,P,51,3,T,44,I,2.5,2609.657572,NA,NA,21.75,47.27,69.02
Yield Test 3,Ply,2019,N18-1978,36,1,15,P,51,2,T,42,I,1.5,2866.872737,17,7598.823529,22.33,45.25,67.58
Yield Test 3,Ply,2019,N18-1978,36,2,50,P,55,2.5,T,42,I,2,2704.642982,17.2,7085.465116,23.14,43.96,67.1
Yield Test 3,Ply,2019,N18-1978,36,3,132,P,65,2.5,G,41,I,2.5,2785.203038,NA,NA,22.33,44.34,66.67
Yield Test 3,Ply,2019,N18-1981,37,1,39,P,51,3.5,T,37,D,3,2595.676074,14.2,8236.619718,20.34,48.87,69.21
Yield Test 3,Ply,2019,N18-1981,37,2,83,P,50,2,T,35,I,2.5,2290.746276,14.4,7168.055556,20.81,48.33,69.14
Yield Test 3,Ply,2019,N18-1981,37,3,101,P,49,3.5,T,39,I,3.5,2315.602271,NA,NA,20.18,49.35,69.53
Yield Test 3,Ply,2019,N18-1982,38,1,20,P,49,3.5,T,35,I,3,2618.090856,15.6,7562.179487,23.65,44.27,67.92
Yield Test 3,Ply,2019,N18-1982,38,2,46,P,49,2.5,T,40,I,3,2519.33266,16.7,6797.60479,23.59,43.94,67.53
Yield Test 3,Ply,2019,N18-1982,38,3,95,P,49,3,T,42,I,3,2154.482159,NA,NA,23.78,44.18,67.96
